scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,epsilon,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged,avg_group_time_to_converge_succ,min_group_time_to_converge_succ,median_group_time_to_converge_succ,max_group_time_to_converge_succ,stnd_dev_group_time_to_converge_succ,times_group_converged_succ
baseline,complete,N/A,0.5,0.51,9,0.1,1000,708,1000,5842.713,856,7394.5,8150,2657.4902597433916,990.594,935,995.0,1000,11.59427289656406,999.4419263456091,994,1000.0,1000,0.9173485163906023,353,999.3917910447761,994,1000.0,1000,0.9809033688515303,268
restrict_dissemination,star,random,0.5,0.51,9,0.1,1000,741,1000,5275.878,1136,5432.0,8068,1751.0511326389071,991.3,954,994.0,1000,8.567263273648127,999.1594202898551,994,1000.0,1000,1.14996141593492,69,999.0655737704918,994,999.0,1000,1.1855530971648882,61
baseline,complete,N/A,0.5,0.53,9,0.1,1000,875,1000,7384.436,883,7958.0,8178,1386.652006778918,990.602,949,993.0,1000,9.032142381517245,999.3618784530387,995,1000.0,1000,0.9827151510479852,362,999.3649025069637,995,1000.0,1000,0.9834249905018562,359
restrict_dissemination,star,random,0.5,0.53,9,0.1,1000,914,1000,6261.931,1428,6673.5,8105,1386.434314433612,991.069,956,994.0,1000,9.249012866246863,999.2435897435897,993,1000.0,1000,1.1512078098385485,156,999.2387096774194,993,1000.0,1000,1.153305884880458,155
baseline,complete,N/A,0.5,0.55,9,0.1,1000,902,1000,7803.577,2373,8028.0,8181,590.9052411943898,991.523,956,994.0,1000,8.890864468655453,999.3430079155672,993,1000.0,1000,1.0136391386323946,379,999.3430079155672,993,1000.0,1000,1.0136391386323946,379
restrict_dissemination,star,random,0.5,0.55,9,0.1,1000,914,1000,7011.491,2439,7473.0,8157,1032.3687499721211,991.071,959,993.5,1000,8.431604770149038,999.4193548387096,995,1000.0,1000,0.8898783370408853,248,999.4193548387096,995,1000.0,1000,0.8898783370408853,248
baseline,complete,N/A,0.5,0.5700000000000001,9,0.1,1000,901,1000,7941.354,3487,8060.5,8185,389.40218885363237,990.832,946,994.0,1000,9.435347158425067,999.3032581453634,994,1000.0,1000,0.9966180461200767,399,999.3032581453634,994,1000.0,1000,0.9966180461200767,399
restrict_dissemination,star,random,0.5,0.5700000000000001,9,0.1,1000,919,1000,7412.471,4494,7732.0,8125,714.2790933234712,990.881,936,994.0,1000,9.287779013305604,999.3636363636364,995,1000.0,1000,1.096811682910332,352,999.3636363636364,995,1000.0,1000,1.096811682910332,352
baseline,complete,N/A,0.5,0.5900000000000001,9,0.1,1000,888,1000,8013.21,5792,8071.0,8182,199.9873743514825,991.195,938,994.0,1000,8.833287892964885,999.3746701846966,994,1000.0,1000,0.959326987283571,379,999.3746701846966,994,1000.0,1000,0.959326987283571,379
restrict_dissemination,star,random,0.5,0.5900000000000001,9,0.1,1000,897,1000,7666.447,4598,7909.0,8152,517.0885254876578,991.524,933,995.0,1000,8.5217031161617,999.4675675675676,995,1000.0,1000,0.8793591198428774,370,999.4675675675676,995,1000.0,1000,0.8793591198428774,370
baseline,complete,N/A,0.5,0.6100000000000001,9,0.1,1000,896,1000,8038.25,6438,8080.0,8179,147.6728055533584,990.622,944,994.0,1000,10.427900843410432,999.383631713555,994,1000.0,1000,0.9601460393058766,391,999.383631713555,994,1000.0,1000,0.9601460393058766,391
restrict_dissemination,star,random,0.5,0.6100000000000001,9,0.1,1000,900,1000,7770.136,5791,7966.5,8160,403.90507486784566,991.183,952,993.0,1000,8.161955096666484,999.2466124661247,992,1000.0,1000,1.1600372220720174,369,999.2466124661247,992,1000.0,1000,1.1600372220720174,369
baseline,complete,N/A,0.5,0.6300000000000001,9,0.1,1000,887,1000,8062.234,7102,8084.0,8208,94.81538505959884,990.407,954,994.0,1000,9.288452562187095,999.3026315789474,993,1000.0,1000,1.0980813032177783,380,999.3026315789474,993,1000.0,1000,1.0980813032177783,380
restrict_dissemination,star,random,0.5,0.6300000000000001,9,0.1,1000,899,1000,7879.061,6215,8003.5,8145,281.55283567920253,990.181,943,993.0,1000,10.02597820663899,999.2551546391752,993,1000.0,1000,1.1188862405918194,388,999.2551546391752,993,1000.0,1000,1.1188862405918194,388
baseline,complete,N/A,0.5,0.6500000000000001,9,0.1,1000,907,1000,8073.904,7106,8088.0,8179,74.24571896075895,990.742,926,994.0,1000,9.394223544285072,999.2564766839379,993,1000.0,1000,1.1867236303558475,386,999.2564766839379,993,1000.0,1000,1.1867236303558475,386
restrict_dissemination,star,random,0.5,0.6500000000000001,9,0.1,1000,909,1000,7955.654,6789,8034.0,8174,197.69817976906108,991.365,934,994.0,1000,8.725008595984304,999.3054054054054,991,1000.0,1000,1.2041473255347135,370,999.3054054054054,991,1000.0,1000,1.2041473255347135,370
baseline,complete,N/A,0.5,0.6700000000000002,9,0.1,1000,898,1000,8078.261,7465,8087.0,8178,54.5635489956436,991.421,942,994.0,1000,9.06740089551576,999.3432835820895,995,1000.0,1000,1.0611020105508842,402,999.3432835820895,995,1000.0,1000,1.0611020105508842,402
restrict_dissemination,star,random,0.5,0.6700000000000002,9,0.1,1000,884,1000,7977.546,7034,8042.0,8173,167.6278255063878,989.336,911,993.0,1000,11.511346750054923,999.3171355498721,995,1000.0,1000,1.0397166540729579,391,999.3171355498721,995,1000.0,1000,1.0397166540729579,391
baseline,complete,N/A,0.5,0.6900000000000002,9,0.1,1000,903,1000,8085.659,7578,8091.0,8197,46.63323620552191,992.279,948,995.0,1000,9.203540568715932,999.4188481675393,995,1000.0,1000,0.9392325780048557,382,999.4188481675393,995,1000.0,1000,0.9392325780048557,382
restrict_dissemination,star,random,0.5,0.6900000000000002,9,0.1,1000,903,1000,8011.864,6924,8057.0,8175,131.11224009984727,991.057,939,994.0,1000,9.219530953361998,999.3812010443864,993,1000.0,1000,1.0376019846941347,383,999.3812010443864,993,1000.0,1000,1.0376019846941347,383
baseline,complete,N/A,0.5,0.7100000000000002,9,0.1,1000,912,1000,8090.431,7472,8094.0,8190,42.2374388309708,990.32,943,993.5,1000,10.037908148613434,999.3772151898734,994,1000.0,1000,1.0197976179328032,395,999.3772151898734,994,1000.0,1000,1.0197976179328032,395
restrict_dissemination,star,random,0.5,0.7100000000000002,9,0.1,1000,886,1000,8027.537,7447,8064.0,8176,107.28652585949459,990.335,922,994.0,1000,10.343441158531332,999.3799472295515,993,1000.0,1000,1.0212615703650372,379,999.3799472295515,993,1000.0,1000,1.0212615703650372,379
baseline,complete,N/A,0.5,0.7300000000000002,9,0.1,1000,893,1000,8090.165,7802,8093.0,8181,37.99599682861341,990.695,926,994.0,1000,11.526056350721179,999.472972972973,994,1000.0,1000,0.8795418489954896,370,999.472972972973,994,1000.0,1000,0.8795418489954896,370
restrict_dissemination,star,random,0.5,0.7300000000000002,9,0.1,1000,912,1000,8046.427,7454,8070.0,8185,82.0136371038378,991.832,944,995.0,1000,9.372501053614238,999.3853904282116,994,1000.0,1000,1.0162846153289071,397,999.3853904282116,994,1000.0,1000,1.0162846153289071,397
baseline,complete,N/A,0.5,0.7500000000000002,9,0.1,1000,898,1000,8092.326,7822,8094.0,8195,35.21507807743723,990.446,896,993.0,1000,9.776660165925785,999.360655737705,994,1000.0,1000,1.0005373455519428,366,999.360655737705,994,1000.0,1000,1.0005373455519428,366
restrict_dissemination,star,random,0.5,0.7500000000000002,9,0.1,1000,897,1000,8056.831,7635,8075.0,8201,70.93536804020967,991.544,947,995.0,1000,9.09252792132089,999.3965087281796,992,1000.0,1000,1.0616355802653823,401,999.3965087281796,992,1000.0,1000,1.0616355802653823,401
baseline,complete,N/A,0.5,0.7700000000000002,9,0.1,1000,903,1000,8093.35,7901,8095.0,8202,32.1816951076229,991.118,950,994.0,1000,8.76322292310312,999.3593380614657,996,1000.0,1000,0.9643535723106921,423,999.3593380614657,996,1000.0,1000,0.9643535723106921,423
restrict_dissemination,star,random,0.5,0.7700000000000002,9,0.1,1000,901,1000,8065.961,7749,8082.0,8174,59.244843480255724,990.001,930,992.0,1000,9.455844700501379,999.3539603960396,993,1000.0,1000,1.0534991945355117,404,999.3539603960396,993,1000.0,1000,1.0534991945355117,404
baseline,complete,N/A,0.5,0.7900000000000003,9,0.1,1000,898,1000,8096.572,7976,8098.0,8189,31.067262769674446,989.948,927,993.0,1000,9.860288839582743,999.3712121212121,994,1000.0,1000,1.0155754429175199,396,999.3712121212121,994,1000.0,1000,1.0155754429175199,396
restrict_dissemination,star,random,0.5,0.7900000000000003,9,0.1,1000,899,1000,8070.049,7732,8081.0,8176,54.92806749740974,991.053,944,994.0,1000,9.469645769510072,999.3779527559055,994,1000.0,1000,1.0215201517053758,381,999.3779527559055,994,1000.0,1000,1.0215201517053758,381
baseline,complete,N/A,0.5,0.8100000000000003,9,0.1,1000,909,1000,8094.961,7938,8096.0,8183,30.497729079392126,990.534,943,994.0,1000,9.450653099124949,999.3695090439277,991,1000.0,1000,1.1068966403412865,387,999.3695090439277,991,1000.0,1000,1.1068966403412865,387
restrict_dissemination,star,random,0.5,0.8100000000000003,9,0.1,1000,887,1000,8072.211,7701,8080.5,8194,52.95198276740919,991.068,945,993.0,1000,8.630375194625087,999.3511450381679,994,1000.0,1000,0.9538218086084851,393,999.3511450381679,994,1000.0,1000,0.9538218086084851,393
baseline,complete,N/A,0.5,0.8300000000000003,9,0.1,1000,898,1000,8098.296,7951,8100.0,8189,30.54135530718963,991.071,940,994.0,1000,9.86184359032326,999.4488778054863,995,1000.0,1000,0.8809454157139949,401,999.4488778054863,995,1000.0,1000,0.8809454157139949,401
restrict_dissemination,star,random,0.5,0.8300000000000003,9,0.1,1000,897,1000,8079.257,7795,8086.0,8184,43.71723860218072,991.391,952,994.0,1000,9.012997226228354,999.4277929155313,994,1000.0,1000,1.0065676865093285,367,999.4277929155313,994,1000.0,1000,1.0065676865093285,367
baseline,complete,N/A,0.5,0.8500000000000003,9,0.1,1000,907,1000,8098.102,8008,8098.5,8179,28.129976821888782,990.662,950,994.5,1000,10.497035581534435,999.2596401028278,992,1000.0,1000,1.1163385219846298,389,999.2596401028278,992,1000.0,1000,1.1163385219846298,389
restrict_dissemination,star,random,0.5,0.8500000000000003,9,0.1,1000,903,1000,8082.409,7820,8089.5,8177,45.00810725858176,991.625,920,995.0,1000,9.649475374340307,999.4303482587064,994,1000.0,1000,0.9012839807958735,402,999.4303482587064,994,1000.0,1000,0.9012839807958735,402
baseline,complete,N/A,0.5,0.8700000000000003,9,0.1,1000,895,1000,8099.525,7977,8100.0,8178,28.920189746957057,990.96,942,994.0,1000,10.257017110251889,999.3623188405797,995,1000.0,1000,1.0210965190613646,414,999.3623188405797,995,1000.0,1000,1.0210965190613646,414
restrict_dissemination,star,random,0.5,0.8700000000000003,9,0.1,1000,897,1000,8086.61,7910,8090.0,8185,39.28203024284768,990.989,930,994.0,1000,9.19798233309893,999.3638676844784,993,1000.0,1000,0.9871527425884922,393,999.3638676844784,993,1000.0,1000,0.9871527425884922,393
baseline,complete,N/A,0.5,0.8900000000000003,9,0.1,1000,908,1000,8098.886,7991,8100.0,8193,28.107276709065925,991.297,940,994.0,1000,9.08475596810393,999.3959390862944,995,1000.0,1000,0.9347133746428481,394,999.3959390862944,995,1000.0,1000,0.9347133746428481,394
restrict_dissemination,star,random,0.5,0.8900000000000003,9,0.1,1000,887,1000,8087.479,7858,8091.0,8183,36.84770764918762,992.385,940,995.0,1000,8.689463447187059,999.384,990,1000.0,1000,0.9942555003619542,375,999.384,990,1000.0,1000,0.9942555003619542,375
baseline,complete,N/A,0.5,0.9100000000000004,9,0.1,1000,893,1000,8098.561,8005,8099.0,8199,28.935450212498854,991.141,949,994.0,1000,8.710976925695533,999.4186046511628,995,1000.0,1000,0.8981549369277669,387,999.4186046511628,995,1000.0,1000,0.8981549369277669,387
restrict_dissemination,star,random,0.5,0.9100000000000004,9,0.1,1000,913,1000,8089.452,7942,8092.0,8186,35.339492016722595,991.485,934,994.0,1000,9.725624658601626,999.4376657824934,995,1000.0,1000,0.9079448123084699,377,999.4376657824934,995,1000.0,1000,0.9079448123084699,377
baseline,complete,N/A,0.5,0.9300000000000004,9,0.1,1000,910,1000,8099.627,8012,8100.0,8184,28.862395448056624,991.075,921,993.0,1000,8.638713735273324,999.4064039408867,994,1000.0,1000,0.9571398147653769,406,999.4064039408867,994,1000.0,1000,0.9571398147653769,406
restrict_dissemination,star,random,0.5,0.9300000000000004,9,0.1,1000,906,1000,8092.508,7944,8095.0,8175,34.454839079583586,990.4,900,993.0,1000,11.277056353499347,999.3995327102804,995,1000.0,1000,0.9077546327224679,428,999.3995327102804,995,1000.0,1000,0.9077546327224679,428
baseline,complete,N/A,0.5,0.9500000000000004,9,0.1,1000,918,1000,8099.816,7970,8100.0,8199,29.35101606418422,991.683,945,994.0,1000,8.480360310741519,999.3225806451613,991,1000.0,1000,1.1955921071471394,403,999.3225806451613,991,1000.0,1000,1.1955921071471394,403
restrict_dissemination,star,random,0.5,0.9500000000000004,9,0.1,1000,881,1000,8092.61,7935,8095.0,8180,32.48217819050933,991.846,946,994.0,1000,8.247562306524275,999.3400503778338,993,1000.0,1000,1.121232228536275,397,999.3400503778338,993,1000.0,1000,1.121232228536275,397
baseline,complete,N/A,0.5,0.9700000000000004,9,0.1,1000,883,1000,8099.321,8002,8100.0,8191,28.85796179566395,991.142,942,993.0,1000,8.832770573268617,999.4501347708895,992,1000.0,1000,0.9930044981364823,371,999.4501347708895,992,1000.0,1000,0.9930044981364823,371
restrict_dissemination,star,random,0.5,0.9700000000000004,9,0.1,1000,897,1000,8094.818,7956,8095.0,8186,32.5951664514848,990.115,947,993.0,1000,10.63906833327054,999.3618090452261,995,1000.0,1000,0.9692502120642149,398,999.3618090452261,995,1000.0,1000,0.9692502120642149,398
baseline,complete,N/A,0.5,0.9900000000000004,9,0.1,1000,898,1000,8099.411,8007,8099.0,8199,28.696342606680737,990.228,940,994.0,1000,9.940523929853999,999.4734042553191,994,1000.0,1000,0.9017330278962358,376,999.4734042553191,994,1000.0,1000,0.9017330278962358,376
restrict_dissemination,star,random,0.5,0.9900000000000004,9,0.1,1000,903,1000,8094.652,7949,8094.0,8197,32.10755200883431,992.183,946,995.0,1000,7.820198910513722,999.3333333333334,993,1000.0,1000,1.044994683665371,384,999.3333333333334,993,1000.0,1000,1.044994683665371,384
